Sentence,Score (GPT),Score (VADER)
I think @HumaAbedin should be ashamed that she didn't stand by her pervert husband like @HillaryClinton did. #StrongWomen,-0.8,-0.5994
@HillaryClinton @realDonaldTrump @CNN #trumpPence16 https://t.co/uo0uS5L85o,-0.3,0.0
@HillaryClinton @Comeridethwhale so are you! trump &amp; your stupid ass are different sides of the same coin,-0.6,-0.8016
@BrinckJeff @POTUS @BarackObama What money is Obama using to bring refugees here ??? How much ??? PROVIDE EVIDENCE PROOF and TRUTH !!!,-0.5,0.7067
@realDonaldTrump @HillaryClinton @CNN @MSNBC #TrumpPence16 #CrookedHillary #LyingHillary #HillarysHealth https://t.co/KA4KEIdY43,-0.7,0.0
@BarackObama August most violent month in Chicago in nearly 20 years   @potus @LorettaLynch @HillaryClinton All Silent....  https://t.co/gKQM6DTnmh,-0.8,-0.6361
@HillaryClinton https://t.co/pgck0ifrzC atleast @realDonaldTrump doesn't hide like a coward with a guilty conscience,-0.6,-0.75
Working people: @HillaryClinton not @realDonaldTrump is the clear choice for president: https://t.co/ToMsaHGJ4f via @AFLCIO #p2 #1uvote,0.6,0.3818
@@FoxNews no @JohnKerry the media needs 2 stop covering u &amp; ur inane comments. 1st @HillaryClinton &amp; now u difficult 2 decide which 1 worse,-0.4,-0.8402
squad goals https://t.co/sPssovyBDt,0.2,0.0
THIS was the point of @HillaryClinton's alt-right speech: https://t.co/UtlupgI4qC https://t.co/XxqNjclQ6G,0.4,0.0
#NYTimes getting a quote from #Trump on how #Weiner divorce is impacting #HillaryClinton presidency shows their paper is now a tabloid,-0.5,0.0
Working people: @HillaryClinton not @realDonaldTrump is the clear choice for president: https://t.co/eSZKPSNy3M via @AFLCIO #p2 #1uvote,0.6,0.3818
@BarackObama has no problem saying that police are the problem but can't even muster the courage to say radical islam. Pathetic leader,-0.9,-0.2432
@Deathc0de @JamesPMorrison @HillaryClinton sure he was! @BernieSanders filed as a conscientious objector @billclinton nevr did played system,-0.5,0.6114
@craigmelvin Is it a crime now for @HillaryClinton to raise money for her campaign and Democrat party? Check connection on #Trump &amp; Russia!,-0.2,-0.2714
@Reince @HillaryClinton SO why do YOU care? Keep your FLIP FLOPPER on message! and stop worrying about Hillary I get it your man is loosing,-0.4,-0.1759
@Marycar08639249 @HillaryClinton Have fun with Donnie.,-0.1,0.5106
@sarahleahwolfe @finkd @MSNBC @HillaryClinton Well she had him in the barricaded apartment while shooting at cops. Mother of the year.,-0.6,0.2732
@HillaryClinton We need federal laws for severe animal abuse &amp; it should be a felony. https://t.co/NL3Hbo6wIE … https://t.co/646dcvIm3y,0.5,-0.8834
I'm proud to be on Team @HillaryClinton. You should join too! https://t.co/T4vSAGBMg3,0.7,0.68
@HillaryClinton Won't help her really. If @SenSanders begged me personally to vote 4 her I would say we need a total system reboot https://t.co/FWyIQXSazI,-0.3,-0.3089
Example of one of (many) reasons Portman continues to lead Strickland by healthy margin. https://t.co/s5U4hP3mmp,0.1,0.4019
@trumpanov @Reince @HillaryClinton  You mean the tax returns that no-one gives a fuck about? https://t.co/I4uzvhUJBb,-0.2,-0.5423
@pastormarkburns @HillaryClinton nevermind that hillary has decades of work helping the african american community,-0.6,0.296
@Nikluk @MollyBrown28 @upayr @TheDemocrats I'm assuming your remarks are in reference to @HillaryClinton the Elitist Criminal,-0.8,-0.5267
@Reince Take care of your dislike disfuncional candidate. @HillaryClinton is doing fine thank you. #ManyPeopleAreSaying you are losing.,-0.7,0.3182
@realpoliticin @gcamp4 @HillaryClinton @jaketapper   GLAD TO SEE A MILLENNIAL SPEAK OUT 📢📢 GOOD ON U!TY,0.4,0.8252
Corrupt oligarchs like @HillaryClinton &amp; @POTUS @BarackObama don't care about you even if you're black or female!! https://t.co/jlsXWB17Zs,-0.8,-0.1808
@HillaryClinton @NLRB @33unitehere @Yale https://t.co/VDNGouUdfU,0.2,0.0
